Size,Threads,Time
10,1,377
10,2,297
10,3,275
10,4,238
10,5,243
10,6,232
10,7,233
10,8,222
10,9,229
10,10,222
100,1,261
100,2,2103
100,3,279
100,4,264
100,5,252
100,6,276
100,7,259
100,8,258
100,9,1827
100,10,263
1000,1,1934
1000,2,1898
1000,3,1916
1000,4,1890
1000,5,1817
1000,6,1871
1000,7,1856
1000,8,1925
1000,9,1929
1000,10,3516
10000,1,21022
10000,2,16798
10000,3,17474
10000,4,40021
10000,5,26679
10000,6,22431
10000,7,21225
10000,8,33985
10000,9,23259
10000,10,19282
100000,1,202713
100000,2,201871
100000,3,231206
100000,4,195018
100000,5,174163
100000,6,180972
100000,7,165451
100000,8,181811
100000,9,178389
100000,10,267411
